"Speaker Name","Start Time","End Time","Text"
"Speaker 1","00:00:00:00","00:00:01:46","Mike."
"Speaker 2","00:00:01:51","00:00:02:28","Isabella. Nice."
"Speaker 1","00:00:02:36","00:00:05:31","Isabella, are you from here?"
"Speaker 2","00:00:05:35","00:00:12:48","So originally, I'm from Washington state. Okay. I go to Grand Canyon University, so I'm in Arizona for school right now."
"Speaker 1","00:00:12:53","00:00:14:14","What made you go there?"
"Speaker 2","00:00:14:19","00:00:15:37","The business program."
"Speaker 1","00:00:15:42","00:00:16:21","The business program."
"Speaker 2","00:00:16:22","00:00:26:51","Business program is excellent. Really? They have a fantastic set of programs and just a really well-rounded business ecosystem there."
"Speaker 1","00:00:26:58","00:00:27:43","What is it called?"
"Speaker 2","00:00:27:48","00:00:28:58","Grand Canyon University."
"Speaker 1","00:00:29:00","00:00:34:42","Grand. Canyon University. And so you said you're from Washington state."
"Speaker 2","00:00:34:44","00:00:37:23","I'm from Washington state."
"Speaker 1","00:00:37:27","00:00:46:56","With all of the choices for a business degree. Yes. There must be a reason that you chose Grand Canyon. Yeah. Well, what made it stand out?"
"Speaker 2","00:00:47:01","00:01:10:22","Well, there was a series of things I was looking for a Christian school one. So that narrows down your options quite a bit. I wanted to be out of state because I just wanted to travel experiences. And the most important one for me was, Tim Kelly actually. And he's the head of the entrepreneurial program. At Grand Canyon University."
"Speaker 2","00:01:10:22","00:01:31:33","And so he basically built out this program. And when I was touring colleges, we made it a note to talk to the people who were the head of whatever program we were looking at. And it basically everything that he told us about that they had to offer that they were building was something that I'd never heard of a college even doing."
"Speaker 1","00:01:31:38","00:01:51:05","They so they didn't even have the word startup when I went to business school. So I went to the University of Toronto, blah blah blah, did a business degree call up the whole nine yards. And so that's why I'm so interested in this topic, because entrepreneurship and startup wasn't even being addressed the university level when I was going."
"Speaker 1","00:01:51:05","00:01:54:57","So. Tim Kelly, can you tell me more about his background and what impressed you?"
"Speaker 2","00:01:55:02","00:02:19:56","Yeah. So, he's the head of the entrepreneurial program. I used to be an entrepreneurship student myself. Not currently, but I still work pretty heavily with the program. And he basically, when I sat down with him, he told us about those two things that they had at the time that I heard about first was Idea Club. Idea club is a, it's a club for people who are starting their own businesses."
"Speaker 2","00:02:20:01","00:02:24:25","Helps them start. Gets them involved. Gets their products in the market. One of the guys who is."
"Speaker 1","00:02:24:27","00:02:25:19","Really."
"Speaker 2","00:02:25:24","00:02:31:19","One of the guys who went through that, I think he's made probably over $300,000 at this point since the best."
"Speaker 1","00:02:31:28","00:02:44:40","So Idea Club, although we're not supposed to talk about it, is, like an ideation to manifestation to commercialization practice within. It's a club."
"Speaker 2","00:02:44:41","00:03:04:06","He's the chief advisor for that. And then on the flip side, and this is what I ended up getting involved in is Canyon Angels. And so GCU is the only college right now in the country, potentially the world that has its own student run and operated angel investment group. So what that."
"Speaker 1","00:03:04:12","00:03:05:18","Year, kid?"
"Speaker 2","00:03:05:29","00:03:07:48","That's correct. Yes. So with that."
"Speaker 1","00:03:08:00","00:03:11:02","I thought you meant like Charlie's Angels. But you talk about Angel."
