"Speaker Name","Start Time","End Time","Text"
"Unknown","00:21:54:28","00:22:21:23","Jonathan Chambless. Jonathan Chambless, I connected with you on LinkedIn. So we're really friends now? Yes, Jonathan. You know, like meeting face to face is one thing, but LinkedIn. That's like married. Absolutely. In corporate. Right. With all 8000 other people I'm married with. It's like the largest polygamous relationship ever. Let's talk about a sin again, Sin? Yeah."
"Unknown","00:22:21:24","00:22:56:09","I'm not. I'm not signing up for that. No. So, I, I'm sure you associate with many, different organizations at this event at Phoenix with BitAngels. What capacity, I guess. Would you say you're huge angel? Yeah. So Sandi was kind enough to let me crash her event. Sandi? Women of Web3. I've. I've had a, relationship with Shelton and stand with crypto ever since my time with, blockchain at ASU and doubles down."
"Unknown","00:22:56:11","00:23:26:00","Gotcha. I have been. I was given the opportunity to work with, Georgia StandWithCrypto chapter president because of Shelton. And so I presented or was getting an opportunity for that, Atlanta tech week, earlier this year. I'm really excited to be working with Sandy, specifically because I was able to introduce her with Blake Spurgeon."
"Unknown","00:23:26:03","00:24:00:29","Startup fund and startup Central. They are, new startup incubation platform based off, advanced manufacturing and incubation. They have a Solana based token. And, when I first met Sandy, I asked her to understand the relationship that myself. Herself and Blake could have if I could convince her to drive up from where she lives in Sandton, all the way up to Tempe."
"Unknown","00:24:01:02","00:24:30:03","And she did. God bless. She made the trip, and, she recognized why I could help both of their brands with, compliance understanding. Being a a, circle developer. Circle financial services developer. I can speak. You are? Yes, sir. Wow. I represented, Circle dev for ETH global last year and Singapore marketing. Yeah."
"Unknown","00:24:30:06","00:25:09:20","So you're actually standing with crypto. You're not just sitting with crypto here. Let me answer that question, because most CTOs and CFOs don't give a crap about crypto. Okay. Broadly, what they do care about is what they pay for payroll and what they pay to process transactions. The ADP side of their relationship. If you aren't incurring a additional risk by introducing crypto with yes volatility and you focus on a stable approach, all of a sudden now local CTOs and CFOs who are wanting to reap in the cost of processing benefits, especially in a cross compliance, cross jurisdictional capacity."
"Unknown","00:25:09:22","00:25:40:07","Now we're talking about something that can add value to an existing organization, whether they understand blockchain or not. And God bless. That took me four years to get through. So what you're saying is that if you're a multinational corporation, yes, sir. And you're responsible for the salaries and Friday paydays, across time zones or a Friday, one day, a Saturday, another needing to fulfill data retention requirements in every jurisdiction, including GDPR, mica."
"Unknown","00:25:40:08","00:26:29:22","Yes, GDPR, mica in Europe. Yeah. Correct. Or whatever the monetary authority of Singapore is. Sure. Sure. So what you're saying is that where a lot of these the column, the fortune 2000 may not be all that interested in cryptocurrency. However, if they can add if they can reduce their foreign exchange risk across the world through staple products in a way that achieves political, legal, regulatory and compliance as a stack, as a stack, because the political, legal, regulatory and compliance is the fulcrum upon which companies live and die."
"Unknown","00:26:29:25","00:27:03:07","If you want their trust. Yes. Correct. And so you built this, I am also a governor of the Accumulate Foundation. Wow. And the accumulate foundation is the historical compliance L1 for some of the most sophisticated tokenized securities in the market today globally. So you're saying compliance L1. Yes. I don't think I've come across it. Can you say more words accumulate foundation."
"Unknown","00:27:03:10","00:27:29:18","Accumulate network previously known as factum. I remember factum okay. Keep going. So Jay Smith and Paul Snow, the founders. Yes. Accumulate. Paul Snow is an original Ethereum fellow and was responsible for the young with the Ernst and Young. No, that's Paul Brody. So I can tell Brody I do have a relationship with Paul Brody. I like Paul."
