"Speaker Name","Start Time","End Time","Text"
"Unknown","00:01:46:14","00:02:38:21","Hello. My name is Michael Jagdeo, and I am a headhunter in launching startups with the syndicate. I am from the 51st state. You might know it is North America, Canada. And we are joined by Shelton and I am really excited to talk to Shelton because of the people I've been meeting this entire weekend at, I filmed three I left here in Phoenix today we are attending Ethereum Phoenix in beautiful, gorgeous downtown Phoenix, Arizona and in the room over there, very, very accomplished founders are pitching BitAngels for millions of dollars."
"Unknown","00:02:38:26","00:03:34:32","And what interested me the most about Shelton was the maturity, the political, legal, regulatory and compliance maturity. Oftentimes when you go to, digital asset events, let's say the the feeling sometimes is, is, code is above law. Let's say I don't know about you, but I haven't found that to be the case. Yeah, I'm not sure if that's ever going to change, but for now, in order to play in this bitcoin or digital asset or digital currency economy, you must be aware of the political, legal, regulatory compliance environment."
"Unknown","00:03:34:37","00:04:06:54","And today I spoke with. Mr. gentry. Yeah. And I could go on for hours about the maturity with which he's approaching this industry. We talked to Jonathan blew my mind. He is the only person who has mentioned the acronym GAAP generally accepted accounts and principles. I have never I went to Bitcoin Vegas and they didn't say that once."
"Unknown","00:04:06:54","00:04:47:27","Yeah. Yeah. So it's becoming more recognized. How did you do this. Yeah I mean this event honestly I can't take full credit for it. That's for chairman. This is this is many people that have put this together. We we've we've had the privilege of building an amazing community. PJ and I, and PJ, you know, if you guys don't know who PJ as he is the founder of I film three, which is a group that brings creatives and artists together, to showcase their films, you know, to the general public and to other creatives."
"Unknown","00:04:47:32","00:05:07:35","And that's what, you know, that that was the origin of this today. And PJ was gracious enough to, you know, provide a space that we could make the first iteration of Ethereum Phoenix happen. And, you know, the general purpose of of that was so that we can expand on this and 2026 with the partners and relationships that we build over this event."
"Unknown","00:05:07:35","00:05:40:49","This is my this is my first event of this scale that I've hosted. And I had I had lots of help. And a big part of that was that I've been hosting meetups since I'm the chapter president of StandWithCrypto on a weekly basis for over a year. And you know, that that kind of came to my advantage as well, because it allowed me to have many contacts that have interests in the field and who are other, you know, accomplished founders who are interested in supporting something, especially locally here in Arizona, where there's so much potential."
"Unknown","00:05:40:49","00:06:13:23","I mean, you know, the state of Arizona is basically untapped. Yeah. I told, Matthew Earl Jones yesterday that the way he described the activity happening in Arizona was positioning Arizona to be the most important state for province or whatever you want to call it in the Western Hemisphere. Yeah, because of the five C's and now chips being the next one with TSMC and Nvidia."
"Unknown","00:06:13:28","00:06:33:55","And I'm in that room saying, is anyone here with that guy just said, yeah. And you've seen this for a while now. Yeah, absolutely. I mean, the state of Arizona is it's it's a blank slate. It's a playground. Yes. And people have a lot of opportunity here. And there's been billions and billions of dollars that have been brought to the state specifically for chip manufacturing."
"Unknown","00:06:34:00","00:07:01:12","And I think that it's not just about the chip manufacturing. I think this is a proof of concept for Arizona being the next Silicon Desert. Is there a chance that Arizona will become a de facto like special economic zone of sorts? Yeah, I definitely believe so. I think we have a lot of room to grow. Arizona is already a large state that I think a lot of people kind of look over."
"Unknown","00:07:01:17","00:07:20:38","You know, we have I think it's about 7 million people in population, which is huge, 5 million just being, you know, here in Maricopa, which is, which is massive compared to many other states. And when you look at wealth distribution as well, I think it was like 150,000. You know, millionaires are here in the state of Arizona. We have 12 billionaires now."
