"Speaker Name","Start Time","End Time","Text"
"Unknown","00:00:00:00","00:00:23:21","Because I can edit if you don't ask for an answer. Over. It's all. It's all good. Okay. It's all good. All right. Good. So, my name is Mike, and it's Tyler Gentry. That's correct. That's amazing. Yeah. Tyler. Tyler will forever be associated with Fight Club to me. Oh. No kidding. I haven't watched that movie forever. You can check out."
"Unknown","00:00:23:26","00:01:00:44","Well, maybe I'm going to have to watch that. This reprised the role. So, what brings you at ease, Phoenix? Well, my buddy Shelton, he, he invited me to come down and, pitch need aid, which is, a new startup. I've been in the payment space for years, and over the last seven years, well, because of Covid and pandemic, I was at a place where, I was distributing aid on prepaid cards."
"Unknown","00:01:00:49","00:01:31:38","Yeah, the state of California tapped us to distribute about a half billion dollars in aid. And the state of New York, about 2 billion. I worked with hundreds of government agencies and non-profits over that time. And it inspired me. I mean, it made me angry because so many people have been left behind in this country. I mean, well, they've either, you know, 60, 70, 80% of Americans are not making ends meet."
"Unknown","00:01:31:40","00:01:55:51","Correct. And so, you know, they qualified for this emergency assistance. And I got a front row seat, you know like Department of Social Services, Department of Labor and all of the people that are in need of aid. That's that's why we call it needed. I am now creating a what's called a doona. It's a decentralized, unincorporated nonprofit association."
"Unknown","00:01:55:55","00:02:21:36","It's a legal framework out of, the state of Wyoming, which is where I'm originally from. Really? Yes. And I graduated from the University of Wyoming. You know, the most important state in the Western Hemisphere. Well, you know, for traditional digital assets, which is, there, you know, I think they've penned over 40, digital asset laws or related, for Wyoming to have a relationship with Arizona."
"Unknown","00:02:21:40","00:02:47:08","Yeah, that's just the best, because you got the accounting from here, and now you have TSMC and everyone else. Yes, I'm building here. So I'm interested in your payments background because I imagine they didn't just say, hey, want to distribute $1 billion of aid? You must have been doing something before I was with another. I was with a large private company in San Francisco."
"Unknown","00:02:47:13","00:03:13:20","That's been in the payments space forever. So a known entity. But at the time they did not have a public sector practice. And I just, I'd done a stint with, Governor Ducey and Sandra Watson with the, Arizona Commerce Authority. Okay. From an economic development, I was, vice president of business attraction. And so I was recruiting companies."
"Unknown","00:03:13:25","00:03:34:16","You could take a stake here and here in Arizona. You're kidding me now. And so I had this government experience, but I jumped back in that was a bit of a hiatus, but I jumped back in to the payment space and landed with this company. Covid hit. And, the demand was overwhelming. They were like, we need to get money out."
"Unknown","00:03:34:21","00:03:59:57","And cutting paper checks wasn't going to work. So they were looking for somebody to outsource payments. And there are a lot of different what I call, program managers. That provide prepaid cards and prepaid cards are an easy way to get money into somebody's hand. You know, you can be the easiest. Once it's activated, I can go into any store and use it."
"Unknown","00:03:59:59","00:04:25:46","Yeah. But I also found, tremendous amount of, fraud that actors were hacking into those. Yes. Those cards. The other thing, not all the money was being used on the prepaid cards. And so when the pandemic was finished, you know, I was inspired enough where it ignited a passion. And I said, how else can we do this?"
"Unknown","00:04:26:00","00:04:56:39","And I've been a huge fan of Bitcoin since 2014. I opened up my my, Coinbase account and started buying it. Started buying a lot of different cryptos. And of course, yes, it was for the investment. But I also thought, you know what? This is the future, digital currency, a digital dollar. And what was more exciting to me was the utility of, you know, the underlying technology of blockchain and where the consensus and the AML and the immutability, the accountable."
"Unknown","00:04:56:44","00:05:26:15","I started to see that connection of transparency and governance because I, I went to school so long ago. We were talking about double entry accounting. And what I saw with Bitcoin is an entry accounting where you can have as much metadata as you please about any debit and credit transaction. Yep. And what that does for KYC, AML, I imagine distribution of aid is has never been seen before."
"Unknown","00:05:26:17","00:05:47:50","It's you know, why didn't the payment transfer. It's a way right to build trust. You are it is. And I'll tell you like donors, there's a lot of, fatigue. Because, you know, you think about it. I give a nonprofit $10,000. I don't really know where that money went. You know, they can tell me and I can believe."
